outage_event_id,unit_name,unit_type,station_code,station_name,location_desc,symptom_desc,start_time,end_time,estimated_rts,duration_minutes
A03N01_2025-04-28T05:00:00,A03N01,ESCALATOR,A03,"Dupont Circle, Q Street Entrance",Escalator between street and mezzanine,Modernization,2025-04-28T05:00:00,2025-10-10T11:10:56,2025-11-17T23:59:59,237970.9
A10X03_2025-10-19T23:12:00,A10X03,ESCALATOR,A10,Medical Center,Escalator between street and mezzanine,Service Call,2025-10-19T23:12:00,2025-10-19T23:13:24,2025-10-21T23:59:59,1.4
B01E03_2025-06-16T05:55:00,B01E03,ESCALATOR,B01,"Gallery Pl-Chinatown, 7th and G Street/Arena Entrance",Escalator between street and mezzanine,Modernization,2025-06-16T05:55:00,2025-10-08T07:05:57,2025-11-14T23:59:59,164231.0
B01E04_2025-06-16T05:56:00,B01E04,ESCALATOR,B01,"Gallery Pl-Chinatown, 7th and G Street/Arena Entrance",Escalator between street and mezzanine,Modernization,2025-06-16T05:56:00,2025-10-08T07:06:33,2025-11-14T23:59:59,164230.5
B01W03_2025-10-19T23:33:00,B01W03,ESCALATOR,B01,"Gallery Pl-Chinatown, 9th and G Street Entrance",Escalator between mezzanine and platform to Shady Grove,Preventive Maintenance Inspection,2025-10-19T23:33:00,2025-10-19T23:34:57,2025-10-21T23:59:59,1.9
B11X06_2025-09-11T00:38:00,B11X06,ELEVATOR,B11,Glenmont,Garage elevator,Modernization,2025-09-11T00:38:00,2025-10-10T09:44:11,2026-01-29T23:59:59,42306.2
C02E01_2025-10-07T00:26:00,C02E01,ELEVATOR,C02,"McPherson Square, Franklin Square/14th St. Entrance",Elevator between street and mezzanine,Modernization,2025-10-07T00:26:00,2025-10-08T13:26:21,2025-12-16T23:59:59,2220.3
C05X01_2025-03-31T04:08:00,C05X01,ESCALATOR,C05,Rosslyn,Escalator between mezzanine and upper platform,Modernization,2025-03-31T04:08:00,2025-09-03T07:44:16,2025-10-24T23:59:59,224856.3
C06X08_2025-10-18T17:42:00,C06X08,ESCALATOR,C06,Arlington Cemetery,Escalator between mezzanine and platform to Franconia-Springfield,Minor Repair,2025-10-18T17:42:00,2025-10-19T20:42:16,2025-10-20T23:59:59,1620.3
C07E14_2025-06-02T04:51:00,C07E14,ESCALATOR,C07,Pentagon,Escalator between the lower bus platform and the upper platform,Inspection Repair,2025-06-02T04:51:00,2025-10-10T07:24:59,2025-11-03T23:59:59,187354.0
C07E15_2025-05-27T07:27:00,C07E15,ESCALATOR,C07,Pentagon,Escalator between the lower bus platform and the upper platform,Major Repair,2025-05-27T07:27:00,2025-10-13T18:11:27,2025-11-03T23:59:59,200804.5
C08X01_2025-07-16T04:14:00,C08X01,ELEVATOR,C08,Pentagon City,"Elevator between street and mezzanine on west side of Hayes street, at The Fashion Center",Modernization,2025-07-16T04:14:00,2025-10-08T13:26:42,2025-10-22T23:59:59,121512.7
C09X12_2025-10-19T21:30:00,C09X12,ESCALATOR,C09,Crystal City,Escalator between mezzanine and platform to Huntington/Franconia-Springfield,Service Call,2025-10-19T21:30:00,2025-10-19T21:31:56,2025-10-21T23:59:59,1.9
C10S04_2025-10-19T15:48:00,C10S04,ESCALATOR,C10,"Ronald Reagan Washington National Airport, South Entrance",Escalator between mezzanine and platform to Mt.Vernon Sq/Largo Town Center,Minor Repair,2025-10-19T15:48:00,2025-10-19T17:37:03,2025-10-21T23:59:59,109.0
D03E09_2025-10-19T14:50:00,D03E09,ESCALATOR,D03,"L'Enfant Plaza, 7th & D St (USDOT Entrance)",Escalator between mezzanine and platform to Blue/Orange Line (escalator closer to Yellow/Green platform),Other,2025-10-19T14:50:00,2025-10-19T14:50:41,2025-10-21T23:59:59,0.7
